,area_name,education_category,tot_emp,pct_total ,h_mean,a_mean
380,Washington,Postsecondary nondegree award,202890,5.8,30.09,62590
381,Washington,"Some college, no degree",100500,2.88,26.64,55400
382,Washington,High school diploma or equivalent,1209850,34.61,29.43,61210
383,Washington,No formal educational credential,758830,21.71,21.84,45420
384,West Virginia,Doctoral or professional degree,20880,3.03,66.82,138980
385,West Virginia,Master's degree,14100,2.05,40.59,84430
386,West Virginia,Bachelor's degree,141800,20.59,38.17,79400
387,West Virginia,Associate's degree,17880,2.6,26.95,56050
388,West Virginia,Postsecondary nondegree award,49800,7.23,20.9,43470
389,West Virginia,"Some college, no degree",14420,2.09,18.86,39230
390,West Virginia,High school diploma or equivalent,275390,39.99,20.93,43530
391,West Virginia,No formal educational credential,154390,22.42,15.18,31580
392,Wisconsin,Doctoral or professional degree,67970,2.36,81.55,169610
393,Wisconsin,Master's degree,45580,1.58,43.42,90320
394,Wisconsin,Bachelor's degree,625260,21.67,43.73,90950
395,Wisconsin,Associate's degree,61020,2.11,29.01,60340
396,Wisconsin,Postsecondary nondegree award,188070,6.52,24.61,51190
397,Wisconsin,"Some college, no degree",76180,2.64,21.34,44390
398,Wisconsin,High school diploma or equivalent,1188180,41.17,24.33,50600
399,Wisconsin,No formal educational credential,633730,21.96,16.99,35330
400,Wyoming,Doctoral or professional degree,6130,2.24,67.25,139890
401,Wyoming,Master's degree,4830,1.76,40.73,84720
402,Wyoming,Bachelor's degree,54140,19.78,41.5,86320
403,Wyoming,Associate's degree,6100,2.23,28.31,58890
404,Wyoming,Postsecondary nondegree award,17940,6.55,25.82,53710
405,Wyoming,"Some college, no degree",8580,3.13,20.02,41640
406,Wyoming,High school diploma or equivalent,108530,39.65,26.04,54160
407,Wyoming,No formal educational credential,67510,24.66,16.82,34980
408,Guam,Doctoral or professional degree,1030,1.59,61.35,127610
409,Guam,Master's degree,900,1.39,33.01,68650
410,Guam,Bachelor's degree,13860,21.43,32.07,66700
411,Guam,Associate's degree,1040,1.61,24.46,50880
412,Guam,Postsecondary nondegree award,3060,4.73,19.93,41460
413,Guam,"Some college, no degree",1260,1.95,15.52,32280
414,Guam,High school diploma or equivalent,26830,41.48,17.46,36310
415,Guam,No formal educational credential,16700,25.82,12.04,25040
416,Puerto Rico,Doctoral or professional degree,17430,1.88,43.28,90020
417,Puerto Rico,Master's degree,**,**,23.33,48520
418,Puerto Rico,Bachelor's degree,181310,19.53,26.15,54400
419,Puerto Rico,Associate's degree,19320,2.08,17.65,36710
420,Puerto Rico,Postsecondary nondegree award,37350,4.02,13.18,27410
421,Puerto Rico,"Some college, no degree",**,**,13.66,28420
422,Puerto Rico,High school diploma or equivalent,398160,42.89,14.23,29600
423,Puerto Rico,No formal educational credential,243350,26.22,11.07,23020
424,Virgin Islands,Doctoral or professional degree,770,2.28,59.85,124490
425,Virgin Islands,Master's degree,610,1.81,36.43,75780
426,Virgin Islands,Bachelor's degree,7200,21.36,35.94,74750
427,Virgin Islands,Associate's degree,520,1.54,25.82,53700
428,Virgin Islands,Postsecondary nondegree award,1680,4.99,24.39,50740
429,Virgin Islands,"Some college, no degree",780,2.31,20.48,42590
430,Virgin Islands,High school diploma or equivalent,12300,36.5,21.1,43900
431,Virgin Islands,No formal educational credential,9850,29.23,16.58,34490
